ESTU_CONSECUTIVO,ESTU_GRADO,COLE_NOM_ESTABLECIMIENTO,COLE_COD_ICFES,COLE_CALENDARIO,COLE_COD_MCPIO,COLE_NOM_MCPIO,COLE_COD_DPTO,COLE_NOM_DPTO,EXA_N_RTAS_CORR_CN,EXA_N_RTAS_CORR_CC,EXA_N_RTAS_CORR_LC,EXA_N_RTAS_CORR_MT,EXA_C_RTAS_CORR_CN,EXA_C_RTAS_CORR_CC,EXA_C_RTAS_CORR_LC,EXA_C_RTAS_CORR_MT,ESTU_GENERO_F,ESTU_GENERO_M,COLE_NATURALEZA_NO,COLE_NATURALEZA_O,COLE_JORNADA_COMPLETA,COLE_JORNADA_MAÑANA,COLE_JORNADA_TARDE,COLE_JORNADA_UNICA,EXA_MODALIDAD_OFF,EXA_MODALIDAD_ON,EXA_MODALIDAD_PA,EXA_MODALIDAD_PAL
2849027,6,INST. EDUCATIVA JOSE CELESTINO MUTIS,29767,A,95001,SAN JOSÉ DEL GUAVIARE,95,GUAVIARE,0,10,9,11,0,1,1,1,True,False,False,True,False,True,False,False,False,False,True,False
22924684,5,I.E. INTERNADO SAN FRANCISCO DE LORETOYACO,13116,A,91540,PUERTO NARIÑO,91,AMAZONAS,0,0,9,15,0,0,1,2,False,True,False,True,True,False,False,False,False,False,True,False
1326820,6,I.E. INTERNADO SAN BARTOLOME,38674,A,99624,SANTA ROSALÍA,99,VICHADA,0,0,7,5,0,0,1,0,False,True,False,True,False,False,False,True,False,False,True,False
21882598,6,INSTITUCION EDUCATIVA SANTANDER,16674,A,95001,SAN JOSÉ DEL GUAVIARE,95,GUAVIARE,7,7,12,4,1,1,1,0,True,False,False,True,False,True,False,False,False,True,False,False
22858286,8,I.E. ESCUELA NORMAL SUPERIOR MARCELIANO EDUARDO CANYES SANTACANA,19502,A,91001,LETICIA,91,AMAZONAS,0,10,14,8,0,1,2,1,True,False,False,True,False,True,False,False,False,False,True,False
23647436,10,I.E. SAGRADO CORAZON DE JESUS,45267,A,99773,CUMARIBO,99,VICHADA,17,8,11,0,2,1,1,0,False,True,False,True,False,False,False,True,False,False,True,False
22888229,7,I.E. ESCUELA NORMAL SUPERIOR MARCELIANO EDUARDO CANYES SANTACANA,19505,A,91001,LETICIA,91,AMAZONAS,9,10,11,8,1,1,1,1,True,False,False,True,False,False,True,False,False,False,True,False
3129350,4,INST. EDUCATIVA JOSE CELESTINO MUTIS,58078,A,95001,SAN JOSÉ DEL GUAVIARE,95,GUAVIARE,0,0,18,17,0,0,2,2,True,False,False,True,False,False,False,True,False,False,True,False
21993849,11,I.E. ANTONIA SANTOS,52025,A,99001,PUERTO CARREÑO,99,VICHADA,14,11,8,7,2,1,1,1,True,False,False,True,False,True,False,False,False,False,True,False
3148412,7,I.E. CONCENTRACIÓN DESARROLLO RURAL,3701,A,95001,SAN JOSÉ DEL GUAVIARE,95,GUAVIARE,9,7,13,5,1,1,1,0,False,True,False,True,False,True,False,False,False,False,True,False
